SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
SILVERIETF,EQ,226.2,227.28,224.7,226.19,228.08,2238306,5057.68,2026-09-17
SILVERTUC,EQ,153.05,155.57,148.2,149.08,153.05,290398,441.45,2026-09-17
SIMPLEXINF,EQ,246.05,261.0,246.05,252.4,248.85,123062,312.82,2026-09-17
SIMPLXREA,EQ,120.5,132.0,120.5,126.25,126.01,6,0.01,2026-09-17
SINCLAIR,EQ,77.93,78.96,77.42,77.56,77.92,9862,7.69,2026-09-17
SINDHUTRAD,EQ,23.35,23.7,22.66,23.27,23.35,909454,211.49,2026-09-17
SINGERIND,EQ,77.0,78.78,76.0,76.86,77.2,32404,25.23,2026-09-17
SINTERCOM,EQ,75.32,76.4,74.05,76.03,75.32,3794,2.85,2026-09-17
SIRCA,EQ,402.95,410.75,397.5,406.55,403.25,609017,2456.85,2026-09-17
SIS,EQ,415.9,425.9,415.0,419.8,415.9,370623,1566.98,2026-09-17
SIYSIL,EQ,518.75,529.15,511.1,514.45,516.05,31946,165.49,2026-09-17
SJS,EQ,2318.3,2318.3,2260.2,2266.0,2297.2,68521,1563.07,2026-09-17
SJVN,EQ,64.1,64.96,63.8,64.75,64.06,1251682,804.84,2026-09-17
SKFINDIA,EQ,1549.7,1560.0,1527.4,1541.0,1546.3,44468,685.0,2026-09-17
SKFINDUS,EQ,2925.0,3057.4,2890.0,2940.3,2943.0,27140,803.69,2026-09-17
SKIPPER,EQ,515.0,537.5,513.0,532.55,522.65,1109582,5842.9,2026-09-17
SKMEGGPROD,EQ,229.55,236.15,229.55,231.9,229.6,122879,286.21,2026-09-17
SKYGOLD,EQ,789.0,803.0,782.85,793.3,792.6,443143,3529.42,2026-09-17
SKYWAYS,EQ,113.57,119.0,112.25,117.98,113.42,2932070,3389.24,2026-09-17
SMALL250,EQ,18.29,18.29,17.91,18.1,17.9,257569,46.55,2026-09-17
SMALLADD,EQ,18.03,18.19,18.03,18.11,17.99,12790,2.32,2026-09-17
SMALLCAP,EQ,48.84,48.84,47.37,48.18,47.65,1476596,710.9,2026-09-17
SMALLGROWW,EQ,47.89,48.89,47.89,48.11,47.62,7927,3.82,2026-09-17
SMALLIETF,EQ,17.4,18.18,17.4,18.09,17.93,67545,12.18,2026-09-17
SMARTWORKS,EQ,516.0,525.0,511.7,519.9,520.2,49448,257.12,2026-09-17
SMCGLOBAL,EQ,80.97,83.47,80.43,82.87,80.57,1239264,1010.98,2026-09-17
SML100CASE,EQ,11.0,11.16,11.0,11.13,11.01,770506,85.59,2026-09-17
SMLMAH,EQ,6030.0,6268.5,6029.5,6220.5,5971.5,48450,2982.98,2026-09-17
SMLT,EQ,60.0,64.0,59.38,59.98,59.88,8842,5.36,2026-09-17
SMSPHARMA,EQ,405.25,418.55,403.25,413.75,402.95,672288,2780.74,2026-09-17
SNOWMAN,EQ,34.75,35.27,34.0,34.72,34.54,98327,34.07,2026-09-17
SNXT30BEES,EQ,41.5,42.0,41.5,41.91,41.62,2988,1.25,2026-09-17
SNXT50BETA,EQ,92.98,93.0,91.51,92.9,92.99,1834,1.7,2026-09-17
SOBHA,EQ,1178.3,1200.7,1172.0,1189.4,1181.8,46940,557.85,2026-09-17
SOFTTECH,EQ,500.0,500.7,474.1,500.7,476.9,18047,89.87,2026-09-17
SOLARA,EQ,722.15,750.0,715.95,741.7,711.5,504562,3737.95,2026-09-17
SOLARINDS,EQ,18900.0,19075.0,18590.0,18815.0,18900.0,214606,40479.28,2026-09-17
SOLARWORLD,EQ,133.76,137.9,133.0,133.78,133.76,200860,272.59,2026-09-17
SOLEX,EQ,659.35,680.0,656.05,671.3,657.65,21585,143.97,2026-09-17
SOMANYCERA,EQ,556.7,570.0,553.9,565.85,555.15,85673,485.39,2026-09-17
SOMATEX,EQ,80.5,83.4,80.5,82.77,80.58,5577,4.57,2026-09-17
SOMICONVEY,EQ,98.0,98.0,93.7,94.6,94.11,94923,91.59,2026-09-17
SONACOMS,EQ,762.0,791.25,759.05,777.9,768.0,3093640,24160.27,2026-09-17
SONAL,EQ,89.95,89.95,83.0,83.12,86.11,123,0.11,2026-09-17
SONATSOFTW,EQ,276.95,283.2,273.45,281.65,276.9,996730,2788.3,2026-09-17
SOTL,EQ,685.0,700.35,681.55,691.4,694.4,138210,954.47,2026-09-17
SOUTHBANK,EQ,45.2,46.4,45.2,45.88,45.19,9755681,4477.76,2026-09-17
